Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
190,awdun,ɑwdun,akdun,ᠠᡴᡩᡠ᠋ᠨ,,结实,"strong, sturdy, tough"
191,awjun,ɑwɖʐun,akjan,ᠠᡴᠵᠠᠨ,,雷,thunder
192,awry,ɑwrʲ,oori,ᠣᠣᡵᡳ,,精气,"vigor, vitality"
193,aXXem,aʂʂɯm,axxambi,ᠠᡧᡧᠠᠮᠪᡳ,,动作,to move/start
194,aXXevem,aʂʂɯvɯm,axxabumbi,ᠠᡧᡧᠠᠪᡠᠮᠪᡳ,,使动,causative form of aXXem (= axxambi)
195,ba,ba,ba ,ᠪᠠ,,地方,"place, area"
196,baa,baa,bai,ᠪᠠᡳ,,吧,(final particle)
197,baem,bæm,baimbi,ᠪᠠᡳ᠌ᠮᠪᡳ,,求,"to ask, to request"
198,baereN,bærɯŋ,bairengge,ᠪᠠᡳ᠌ᡵᡝᠩᡤᡝ,,请求的是,thing(s) asked for
199,baevem,bævɯm,baibumbi,ᠪᠠᡳ᠌ᠪᡠᠮᠪᡳ,,需要,(causative form of baem (= baimbi)) to need; to require
200,bah jaq,baχ ɖʐaq,baha jaka,ᠪᠠᡥᠠ ᠵᠠᡴᠠ,,获品,"game, hunted goods"
201,bahselm,baχsɯɹm,baksalambi,ᠪᠠᡴᠰᠠᠯᠠᠮᠪᡳ,,束,to be bundled together
202,bahsen,baχsɯn,baksan,ᠪᠠᡴᠰᠠᠨ,,束,bundle/bunch
203,bahtem,baχtɯm,baktambi,ᠪᠠᡴᡨ᠋ᠠᠮᠪᡳ,,容得下,(of capacity) to fit; to be able to contain
204,bai,baj,bai,ᠪᠠᡳ,,白白的,"aimlessly, in vain, no purpose"
205,baicem,bajʈʂɯm,baicambi,ᠪᠠᡳ᠌ᠴᠠᠮᠪᡳ,,搜查,to search
206,bailem,bajlɯm,bayalambi,ᠪᠠᠶᠠᠯᠠᠮᠪᡳ,,高兴,to be pleased
207,bait,bajt,baita,ᠪᠠᡳ᠌ᡨ᠋ᠠ,,事,"task, affair, incident"
208,baitaqw,bajtaqʷ,baita akv,ᠪᠠᡳ᠌ᡨ᠋ᠠ ᠠᡴᡡ,,没事儿,"all right, no problem, no worries"
209,baitelen,bajtɯlɯn,baitalan,ᠪᠠᡳ᠌ᡨ᠋ᠠᠯᠠᠨ,,用处,use (a way of being used)
210,baitelm,bajtɯɹm,baitalambi,ᠪᠠᡳ᠌ᡨ᠋ᠠᠯᠠᠮᠪᡳ,,用,to use
211,baiteN,bajtɯŋ,baitangga,ᠪᠠᡳ᠌ᡨ᠋ᠠᠩᡤᠠ,,有用,"useful, applicable, usable"
212,baju,baɖʐu,baju,ᠪᠠᠵᡠ,,烧酒糟,dregs from distilled liquor
213,bal,baɹ,bal,ᠪᠠᠯ,,狆,Pekingese dog
214,bal bal  bal ,baɹ baɹ baɹ,bal bal bal,ᠪᠠᠯ ᠪᠠᠯ ᠪᠠᠯ,,唤狗声,dog-calling sound
215,balai,balaj,balai,ᠪᠠᠯᠠᡳ,,"任意, 放肆, 胡乱","without reason, at random"
216,balaq nimRa,balaq nimʁa,balak nimha,ᠪᠠᠯᠠᡴ ᠨᡳᠮᡥᠠ,,玉筋鱼,a kind of river fish
217,bambi boro,bambi bɔrɔ,bambi boro,ᠪᠠᠮᠪᡳ ᠪᠣᡵᠣ,,蒲公英,dandelion
218,bandu,bandu,bandu,ᠪᠠᠨᡩᡠ᠋,,枡,"“masu"" (square wooden box used to measure rice in Japan)"
219,baniha,baniχa,baniha,ᠪᠠᠨᡳᡥᠠ,,谢谢,thank you
220,banihalm,baniχaɹm,banihalambi,ᠪᠠᠨᡳᡥᠠᠯᠠᠮᠪᡳ,,答谢,to thank
221,banin,banin,banin,ᠪᠠᠨᡳᠨ,,"性格, 性质","nature, character"
222,banjem,banɖʐɯm,banjimbi,ᠪᠠᠨᠵᡳᠮᠪᡳ,,生,"to bear, to give birth; to be born; to grow, to emerge, to increase; to live, to be alive, to make a living"
223,banjem,banɖʐɯm,banjimbi,ᠪᠠᠨᠵᡳᠮᠪᡳ,,"活, 生","to live, to be born"
224,banRun,banʁun,banuhvn,ᠪᠠᠨᡠᡥᡡᠨ,,懒惰,lazy
225,banRuXem,banʁuʂɯm,banuhvxambi,ᠪᠠᠨᡠᡥᡡᡧᠠᠮᠪᡳ,,发懒,to be lazy
226,bardem,bardɯm,bardambi,ᠪᠠᡵᡩ᠋ᠠᠮᠪᡳ,,夸,to boast/praise
227,baRem,baʁɯm,bahambi,ᠪᠠᡥᠠᠮᠪᡳ,,找到,to find/get
228,baRenem,baʁɯnɯm,bahanambi,ᠪᠠᡥᠠᠨᠠᠮᠪᡳ,,会,to know how to
229,baRevem,baʁɯvɯm,bahabumbi,ᠪᠠᡥᠠᠪᡠᠮᠪᡳ,,"打中了, 碰上了",to hit (a target); to run into
230,basem,basɯm,basumbi,ᠪᠠᠰᡠᠮᠪᡳ,,嘲笑,"to make fun of, to mock"
231,basevem,basɯvɯm,basubumbi,ᠪᠠᠰᡠᠪᡠᠮᠪᡳ,,被嘲笑,passive form of basem (= basubumbi)
232,bata,bata,bata,ᠪᠠᡨ᠋ᠠ,,敌人,enemy
233,batur,batur,baturu,ᠪᠠᡨᡠ᠋ᡵᡠ,,勇气,brave
